genre,count
"55 min piece",1
"Romantic comedy",1
"Musical, Revue",1
"farce adaptation",1
"Full Length Play, Drama",1
"Historical Thriller",1
"Heroic Comedy Comedy",1
"internet play",1
"Family",1
"Tragedy. - - Gay, theme/character full length",1
"Thriller Musical",1
"1h 0m Comedy Musical",1
"pub theatre",1
"Comedy Drama, 60 min Comedy",1
"translation/adaptation Musical",1
"Performed Reading",1
"70-80 min Drama/Comedy",1
"Three Plays",1
"Short Play 30 min",1
"version of myth",1
"collaborative project",1
"1h 0m, Musical, Comedy",1
"one woman show",1
"verse adaptation",1
"drama, new writing 50 minutes",1
"45 min one act",1
"dramatisation",1
"Drama/Comedy Play/Drama. - - Gay, full length",1
"play with music 90 min",1
"Musical/Opera Comedy 0h 0m",1
"Political Play [in English And Spanish With English Surtitles.]",1
"Gay full length adaptation",1
"Play/Comedy Comedy",1
"Comedy with music",1
"Short Play One Act",1
"spoken word performance 55 min",1
"Farcical Comedy in 1 act",1
"2 act (also radio play) Comedy",1
"love story",1
"one act 75 min",1
"agit Prop",1
"Comedy. - - Lesbian, theme/character, one act",1
"chidren 7 - 10 Youth audience",1
"45 min drama",1
"7-minute monologue",1
"1h 5m L Comedy Drama",1
"Children's Musical Musical",1
"cabaret",1
"Drama, Music",1
"Solo, 80 min",1
"modern english opera",1
"Farce Play Adaptation",1
"Revue sketches Musical",1
"6 min One act",1
"one act biblical comedy",1
"Children's Comedy",1
"Play in 14 episodes",1
