publisher,count
"Contained in: ""Selected Writings Volume One: The Plays"" published by University of Chicago Press 2006",4
"D a P",1
"Contained in: ""the Best Plays of 1927 - 1928"" published by Dodd Mead 1928",1
"PLCN Chapbook, 1984",1
"Maplewood, NJ: Waterfront Press, 1988 -",1
"http://www.indietheaternow.com/Plays",4
"Contained in: ""Best One act Plays 1947 - 1948"" published by Dodd Mead 1948 -",1
"athenaeum, New York, 1975 -",1
"in Return of the Big Five, Finglow Plays, Toronto, 1974 -",1
"Contained in: ""Menander Volume Two"" published by Loeb Classical Library 2000",1
"Chatto & Windus, London, 1975 -",3
"Chatto & Windus, London, 1981 -",2
"Nick Hern Books, London (2014)",1
"Paper Bark in association with Tasdance (1995)",1
"Samuel French, Inc - New York , 2008 -",1
"http://www.indietheaternow.com/Playwright/art-house-productions -",1
"Eldridge Plays",1
"Evans Bros, London, 1956 -",1
"in ""Plays 2"", 1994 -",1
"Contained in ""Postwar German theatre"" published by Macmillan, London, 1968 -",2
"Samuel French, London, 1997 -",2
"Marion Boyars Publishers Ltd, United Kingdom, 25 June 1992",1
"Samuel French, NY, 2001 -",1
"Samuel French, London (acting edition) - click here to order , 2005",1
"New Playwrights Network 1984 -",1
"(Scottish Plays No. 89). Brown, Son & Ferguson. N.D, -",1
"Samuel French, Inc - New York (2015)",4
"Contained in: ""Princess and the Pea, No TV and Other Plays"" published by Dramatic Publishing Company -",4
"PaN, -",1
"Oberon Books Ltd (26 Aug 2010)",1
"(Scottish Plays No. 173). Brown, Son & Ferguson. N.D., -",1
"Black theater, ed. by Lindsay Patterson, New York: Dodd, 1971",1
"Deane's Series of Plays, Kenyon-Deane, London, nd -",1
"Oxford University Press 1972",5
"Contained in: ""Festival Voices"" published by Playwrights Canada Press -",1
"Contained in: ""The Drama Review 13"" 1968",1
"Hub Press, 1974 -",1
"English Theatre Guild, London, 1959 -",1
"Faber and Faber, London, 2003 -",1
"Eldridge Plays and Musicals, 2001 -",1
"http://www.indietheaternow.com/Play/kafkas-belinda -",1
"Contained in: ""Hitler In Liverpool and Other Plays"" published by Calder and Boyars 1983",3
"English Theatre Guild, London, 1958 -",2
"Samuel French Ltd, London 1940",1
"Contained in: ""Collected Plays of edward albee 1978 - 2003"" published by Overlook Press, 2008 -",1
"Appleton Century Crofts 1965",2
"Samuel French, London, 1982 -",2
"Currency Press, Sydney, 1990 -",1
"Nick Hern Books, London (2012)",1
"Brown, Son & Ferguson, nd -",6
"in Plays and Playwrights 2005, the New York Theatre experience, Inc",1
"http://www.indietheaternow.com/Play/for-a-good-time-call-kathy-blanchard -",1
"Contained in: ""Dancing With Strangers"" published by Dramatic Publishing Company -",3
"Playscripts, Inc",3
"Kenyon-Deane, 1955 -",1
"in ""Plays Of The Year Vol.15"", Flek, London, 1957",1
"Dramatic Publishing",4
"Kenyon-Deane, London, 1980 -",1
"Faber and FaberDramatists Play Service, Inc (2012)",1
"absolute Classics, in 3-play volume: the Figaro Plays (1993)",3
"Samuel French, London, 1992 -",3
"Faber and Faber, London, 1991",1
"Contained in: ""Ten Minute theatre"" published by Heuer Publishing -",1
"Allen, Cleary and Miles, London, 1975 -",1
"Samuel French, NY, 1960 -",3
"Playwrights Canada Press, 2010",1
"in Short Circuit: 14 short plays for the stage, Currency Press, Australia (2009)",1
"Oberon Books (2015)",3
"Contained in: ""Complete Greek Tragedies volume One"" published by The University of Chicago Press 1960",1
"an earlier form of the Road Taken was published in the London Metropolitan University's the Next Wave anthology of Student Writing 1998.",1
"Playscripts Inc -",2
"Nick Hern Books, London",1
"Contained in: ""The Comedies of Machievelli"" publshed by Hackett Publishing Company 2007' 978-0872209015",1
"Contained in: ""Dugout"" published by University of Texas Press (2005)",3
"Contained in: ""Best American Short Plays 1992 - 1993"" published by Applause Books -",1
"in the Gates, Mosaic Press, Canada, 1984",1
"https://jacobmappel.com/arborophilia-free-play",1
"Contained in: ""Jules Tasca's Romance Ranch"" published by Samuel French Inc, New York -",1
"University of the West Indies -",1
"Contained in: ""The Dybbuk and Other Great Yiddish Plays"" published by Bantam Books, 1966",1
"BMUK Vienna , 2002",1
"Deane's Series of Plays, Kenyon-Deane, London, 1961 -",1
"Samuel French, London, 1975 -",3
"http://singlelane.com/proplay/sunshine.php, -",1
"Yemassee, 2009 -",1
"Seagull Books 2003",1
"Hill and Wang",1
"Samuel French, NY, 1993 -",1
"Dramatists Play Service, NY (2009)",5
"Jasper Publishing Ltd 2007",1
"typescript in PaL, 1959",1
"Collins educational (3 Jun 1991)",1
"Dramatists Play Service, NY, 2002 -",1
"Dramatic Publishing, -",6
"Contained in: ""Power Plays"" published by Samuel French Inc, New York",1
"Deane's Series of Plays, Kenyon-Deane, London, 1951 -",1
"in ""Plays 2"" Oberon, London, 1999",2
"Playbill One, Hutchinsons, London, 1969 -",1
"Princeton University Press, 1991",1
"in ""Connection"", Oduduwa Production, Pittsburgh, 1970 -",2
"Contained in: ""Breakout"" published by Scirocco Drama 2004",1
"New Theatre Publications -",1
"Playwrights Press, -",1
"Dramatic Publishing, 2008 -",2
"Bolchazy-Carducci Publishers, 1999",1
"Davis-Poynter, 1970",1
"Samuel French, London, 1991 -",6
"Methuen Student Edition, 2000",2
"Faber and Faber, London, 1988 -",1
"Oxford University Press, 1994",1
"Quekett, 1958 -",1
"http://australianplays.org/ -",12
"Currency Press, Australia (2014)",1
"in ""The Fire This Time Festival Season One"", http://www.indietheaternow.com/Plays -",1
"Bakers Plays, New York, -",1
"Sower Press, New Jersey, 1948 -",1
"English Theatre Guild, London, 1964 -",1
"Contained in: ""the Plays of Tom anselmo volume One - Gail's Place "" published by Red Brindle Press, -",1
"as edward albee's Fragments: a Sit around, Dramatists Play Service, New York, 1995 -",1
"Kenyon-Deane, 1978 -",2
"Felipe Santander: Three Plays, Smith and Kraus; 1st edition (April 20, 2000)",1
"Hawthorne & Hill theatrical Producers, 2002 -",2
